time,id,travel_id,x,y,vx,vy,ax,ay
53.467,53,3,-89.3232,1.75,2.81979,8.83255e-09,5.99782,-1.99412e-08
53.477,39,2,91.3582,1.74986,19.8427,0.000244204,0.188828,0.000197421
53.477,41,2,54.2294,1.75428,18.5242,0.000788331,1.59969,-0.0388667
53.477,42,2,32.8595,1.67162,14.8164,0.148562,4.21295,0.0465527
53.477,43,2,18.3487,2.36981,12.2527,-2.41042,0.310421,4.44627
53.477,44,2,5.56681,5.16127,12.4419,-0.889292,-0.0252724,-5.04678
53.477,45,1,-31.4086,-1.75,-19.9927,6.11663e-10,-0.0087738,-2.54859e-09
53.477,46,2,-17.6164,5.34575,12.7554,0.26864,1.15299,-1.89486
53.477,47,1,8.33119,-1.75,-19.9198,-2.7079e-09,-0.0968933,1.12829e-08
53.477,48,2,-41.889,1.75,12.7873,-1.22545e-11,-0.0349045,5.10604e-11
53.477,49,1,47.4867,-1.75,-19.1641,1.24675e-10,-0.951958,-5.19479e-10
53.477,50,2,-68.1223,1.75,14.2627,3.13484e-09,0.287342,-1.30618e-08
53.477,51,1,81.9646,-1.75,-14.0365,-2.21322e-10,-4.56314,9.22176e-10
53.477,52,1,93.4012,-1.75,-8.81326,-1.78122e-09,-5.77965,7.42174e-09
53.477,53,3,-89.2944,1.75,2.87977,1.40116e-08,5.99763,5.17907e-07
53.487,39,2,91.5566,1.74986,19.8445,0.000245909,0.186539,0.000170452
53.487,41,2,54.4148,1.75428,18.5401,0.000414582,1.58443,-0.037375
53.487,42,2,33.0081,1.67311,14.8583,0.14889,4.19245,0.0328064
53.487,43,2,18.4713,2.34616,12.2554,-2.36516,0.269794,4.52623
53.487,44,2,5.69123,5.15188,12.4417,-0.939388,-0.0218391,-5.00959
53.487,45,1,-31.6085,-1.75,-19.9928,5.87196e-10,-0.0087738,-2.44665e-09
53.487,46,2,-17.4887,5.34825,12.7667,0.250234,1.13945,-1.84056
53.487,47,1,8.13198,-1.75,-19.9208,-2.59958e-09,-0.0957489,1.08316e-08
